plot.id,ing_sp,speciesClassName,n_tree_alive,ba_sum_alive,ba_sum_dead,ba_skew,n_measured_alive,lead_sp,forest,MaT,SDmT,MAXmT,MINmT,MaDR,aTR,ISO,DD0,DD5,DD10,TaP,SDmP,MAXmP,MINmP,TaPET,SDmPET,MAXmPET,MINmPET,TaR,SDmR,MAXmR,MINmR,MwaqT,McoqT,MweqT,MdrqT,MwaqP,McoqP,MweqP,MdrqP,MwaqR,McoqR,MweqR,MdrqR,MwaqPET,McoqPET,MweqPET,MdrqPET,ARi,ThHUi,ThARi,RedN,avgDepOxN,avgDepOxS,BDRICM_02_apr_2014,bio_10,bio_1,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,BLD_sd3_M_02_apr_2014,CEC,CLYPPT_sd3_M_02_apr_2014,CRFVOL_sd3_M_02_apr_2014,ORCDRC_sd3_M_02_apr_2014,PHIHOX_sd3_M_02_apr_2014,SLTPPT,SNDPPT_sd3_M_02_apr_2014,var10,var1,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var2,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var3,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var4,var41,var42
27712,19,long-lived broadleaves,1143,38186523.44,1881953.125,1.926030605,23,19,mono,11.00000001,5.794877452,19.35384615,2.553846153,7.607692306,16.8,0.460861212,4031.846154,3855.584615,3073.138462,760.9538462,32.84512106,135.1,20.16153846,716.9661538,39.63276963,121.1753846,12.84230769,3737.775385,199.0375936,595.4006923,61.91176923,18.0128205,3.546153846,13.84615384,8.589743587,74.52820514,61.88974358,92.95384615,37.98717948,521.0448461,104.562359,340.4499744,334.0514871,107.0979487,18.66179488,68.99076921,58.94974359,1.06646591,129.9230769,48.32474928,1124.161743,766.9469604,1801.680786,240,166,99,30,784,80,48,14,223,162,202,190,70,32,5401,215,0,215,71,56,1309,15,12,5,50,58,26,61,2896,2829,2760,36152,19669,2754,2902,2778,2859,896,8337,784,70,80,48,14,223,162,202,190,66,70,49,32,72,784,539,683,78,11447,4075,42,27,12,5401,116,517
27712,19,long-lived broadleaves,1143,38186523.44,1881953.125,1.926030605,23,19,mono,11.00000001,5.794877452,19.35384615,2.553846153,7.607692306,16.8,0.460861212,4031.846154,3855.584615,3073.138462,760.9538462,32.84512106,135.1,20.16153846,716.9661538,39.63276963,121.1753846,12.84230769,3737.775385,199.0375936,595.4006923,61.91176923,18.0128205,3.546153846,13.84615384,8.589743587,74.52820514,61.88974358,92.95384615,37.98717948,521.0448461,104.562359,340.4499744,334.0514871,107.0979487,18.66179488,68.99076921,58.94974359,1.06646591,129.9230769,48.32474928,1124.161743,766.9469604,1801.680786,240,166,99,30,784,80,48,14,223,162,202,190,70,32,5401,215,0,215,71,56,1309,15,12,5,50,58,26,61,2896,2829,2760,36152,19669,2754,2902,2778,2859,896,8337,784,70,80,48,14,223,162,202,190,66,70,49,32,72,784,539,683,78,11447,4075,42,27,12,5401,116,517
27712,19,long-lived broadleaves,1143,38186523.44,1881953.125,1.926030605,23,19,mono,11.00000001,5.794877452,19.35384615,2.553846153,7.607692306,16.8,0.460861212,4031.846154,3855.584615,3073.138462,760.9538462,32.84512106,135.1,20.16153846,716.9661538,39.63276963,121.1753846,12.84230769,3737.775385,199.0375936,595.4006923,61.91176923,18.0128205,3.546153846,13.84615384,8.589743587,74.52820514,61.88974358,92.95384615,37.98717948,521.0448461,104.562359,340.4499744,334.0514871,107.0979487,18.66179488,68.99076921,58.94974359,1.06646591,129.9230769,48.32474928,1124.161743,766.9469604,1801.680786,240,166,99,30,784,80,48,14,223,162,202,190,70,32,5401,215,0,215,71,56,1309,15,12,5,50,58,26,61,2896,2829,2760,36152,19669,2754,2902,2778,2859,896,8337,784,70,80,48,14,223,162,202,190,66,70,49,32,72,784,539,683,78,11447,4075,42,27,12,5401,116,517
27712,19,long-lived broadleaves,1143,38186523.44,1881953.125,1.926030605,23,19,mono,11.00000001,5.794877452,19.35384615,2.553846153,7.607692306,16.8,0.460861212,4031.846154,3855.584615,3073.138462,760.9538462,32.84512106,135.1,20.16153846,716.9661538,39.63276963,121.1753846,12.84230769,3737.775385,199.0375936,595.4006923,61.91176923,18.0128205,3.546153846,13.84615384,8.589743587,74.52820514,61.88974358,92.95384615,37.98717948,521.0448461,104.562359,340.4499744,334.0514871,107.0979487,18.66179488,68.99076921,58.94974359,1.06646591,129.9230769,48.32474928,1124.161743,766.9469604,1801.680786,240,166,99,30,784,80,48,14,223,162,202,190,70,32,5401,215,0,215,71,56,1309,15,12,5,50,58,26,61,2896,2829,2760,36152,19669,2754,2902,2778,2859,896,8337,784,70,80,48,14,223,162,202,190,66,70,49,32,72,784,539,683,78,11447,4075,42,27,12,5401,116,517
28108,20,short-lived broadleaves,2801,15570400,0,1.415852723,22,10,mixed,10.77948719,5.617808773,18.86153846,2.592307692,6.645512821,16.26923077,0.414877196,3950.023077,3750.161538,2980.384615,805.1769231,37.01234781,146.5923077,20.97692308,700.0076923,38.41840036,116.9392308,13.12923077,3810.953769,210.1430488,620.2643846,58.62107692,17.55128205,3.535897436,13.18461539,8.599999997,79.65897436,58.00256411,105.3846154,36.0076923,534.0051794,112.2928205,318.1671282,365.5658206,103.4392307,19.16769232,62.90179487,59.26435895,1.156224646,145.3846154,49.02526932,616.0760498,626.4961548,1704.847778,240,161,95,31,777,85,44,20,238,147,204,185,61,30,5245,206,3,203,109,49,1317,19,21,5,37,63,30,49,2891,2825,2761,34989,18389,2756,2898,2780,2861,872,8338,777,61,85,44,20,238,147,204,185,57,75,47,30,72,777,505,617,81,12590,3717,49,23,13,5245,115,498
28108,20,short-lived broadleaves,2801,15570400,0,1.415852723,22,10,mixed,10.77948719,5.617808773,18.86153846,2.592307692,6.645512821,16.26923077,0.414877196,3950.023077,3750.161538,2980.384615,805.1769231,37.01234781,146.5923077,20.97692308,700.0076923,38.41840036,116.9392308,13.12923077,3810.953769,210.1430488,620.2643846,58.62107692,17.55128205,3.535897436,13.18461539,8.599999997,79.65897436,58.00256411,105.3846154,36.0076923,534.0051794,112.2928205,318.1671282,365.5658206,103.4392307,19.16769232,62.90179487,59.26435895,1.156224646,145.3846154,49.02526932,616.0760498,626.4961548,1704.847778,240,161,95,31,777,85,44,20,238,147,204,185,61,30,5245,206,3,203,109,49,1317,19,21,5,37,63,30,49,2891,2825,2761,34989,18389,2756,2898,2780,2861,872,8338,777,61,85,44,20,238,147,204,185,57,75,47,30,72,777,505,617,81,12590,3717,49,23,13,5245,115,498
28108,20,short-lived broadleaves,2801,15570400,0,1.415852723,22,10,mixed,10.77948719,5.617808773,18.86153846,2.592307692,6.645512821,16.26923077,0.414877196,3950.023077,3750.161538,2980.384615,805.1769231,37.01234781,146.5923077,20.97692308,700.0076923,38.41840036,116.9392308,13.12923077,3810.953769,210.1430488,620.2643846,58.62107692,17.55128205,3.535897436,13.18461539,8.599999997,79.65897436,58.00256411,105.3846154,36.0076923,534.0051794,112.2928205,318.1671282,365.5658206,103.4392307,19.16769232,62.90179487,59.26435895,1.156224646,145.3846154,49.02526932,616.0760498,626.4961548,1704.847778,240,161,95,31,777,85,44,20,238,147,204,185,61,30,5245,206,3,203,109,49,1317,19,21,5,37,63,30,49,2891,2825,2761,34989,18389,2756,2898,2780,2861,872,8338,777,61,85,44,20,238,147,204,185,57,75,47,30,72,777,505,617,81,12590,3717,49,23,13,5245,115,498
28108,20,short-lived broadleaves,2801,15570400,0,1.415852723,22,10,mixed,10.77948719,5.617808773,18.86153846,2.592307692,6.645512821,16.26923077,0.414877196,3950.023077,3750.161538,2980.384615,805.1769231,37.01234781,146.5923077,20.97692308,700.0076923,38.41840036,116.9392308,13.12923077,3810.953769,210.1430488,620.2643846,58.62107692,17.55128205,3.535897436,13.18461539,8.599999997,79.65897436,58.00256411,105.3846154,36.0076923,534.0051794,112.2928205,318.1671282,365.5658206,103.4392307,19.16769232,62.90179487,59.26435895,1.156224646,145.3846154,49.02526932,616.0760498,626.4961548,1704.847778,240,161,95,31,777,85,44,20,238,147,204,185,61,30,5245,206,3,203,109,49,1317,19,21,5,37,63,30,49,2891,2825,2761,34989,18389,2756,2898,2780,2861,872,8338,777,61,85,44,20,238,147,204,185,57,75,47,30,72,777,505,617,81,12590,3717,49,23,13,5245,115,498
28108,16,Quercus robur&petraea,2801,15570400,0,1.415852723,22,10,mixed,10.77948719,5.617808773,18.86153846,2.592307692,6.645512821,16.26923077,0.414877196,3950.023077,3750.161538,2980.384615,805.1769231,37.01234781,146.5923077,20.97692308,700.0076923,38.41840036,116.9392308,13.12923077,3810.953769,210.1430488,620.2643846,58.62107692,17.55128205,3.535897436,13.18461539,8.599999997,79.65897436,58.00256411,105.3846154,36.0076923,534.0051794,112.2928205,318.1671282,365.5658206,103.4392307,19.16769232,62.90179487,59.26435895,1.156224646,145.3846154,49.02526932,616.0760498,626.4961548,1704.847778,240,161,95,31,777,85,44,20,238,147,204,185,61,30,5245,206,3,203,109,49,1317,19,21,5,37,63,30,49,2891,2825,2761,34989,18389,2756,2898,2780,2861,872,8338,777,61,85,44,20,238,147,204,185,57,75,47,30,72,777,505,617,81,12590,3717,49,23,13,5245,115,498
28108,20,short-lived broadleaves,2801,15570400,0,1.415852723,22,10,mixed,10.77948719,5.617808773,18.86153846,2.592307692,6.645512821,16.26923077,0.414877196,3950.023077,3750.161538,2980.384615,805.1769231,37.01234781,146.5923077,20.97692308,700.0076923,38.41840036,116.9392308,13.12923077,3810.953769,210.1430488,620.2643846,58.62107692,17.55128205,3.535897436,13.18461539,8.599999997,79.65897436,58.00256411,105.3846154,36.0076923,534.0051794,112.2928205,318.1671282,365.5658206,103.4392307,19.16769232,62.90179487,59.26435895,1.156224646,145.3846154,49.02526932,616.0760498,626.4961548,1704.847778,240,161,95,31,777,85,44,20,238,147,204,185,61,30,5245,206,3,203,109,49,1317,19,21,5,37,63,30,49,2891,2825,2761,34989,18389,2756,2898,2780,2861,872,8338,777,61,85,44,20,238,147,204,185,57,75,47,30,72,777,505,617,81,12590,3717,49,23,13,5245,115,498
